name,ballots,Shanelle Jackson,Byron H. Nolen,Rashida Tlaib,Write-in,id
"City of Dearborn, Precinct 1",0,0,0,0,0,1632100000001
"City of Dearborn, Precinct 2",0,0,0,0,0,1632100000002
"City of Dearborn, Precinct 3",0,0,0,0,0,1632100000003
"City of Dearborn, Precinct 4",0,0,0,0,0,1632100000004
"City of Dearborn, Precinct 6",0,0,0,0,0,1632100000006
"City of Dearborn, Precinct 7",0,0,0,0,0,1632100000007
"City of Dearborn, Precinct 8",0,0,0,0,0,1632100000008
"City of Dearborn, Precinct 9",0,0,0,0,0,1632100000009
"City of Dearborn, Precinct 10",0,0,0,0,0,1632100000010
"City of Dearborn, Precinct 11",0,0,0,0,0,1632100000011
"City of Dearborn, Precinct 12",0,0,0,0,0,1632100000012
"City of Dearborn, Precinct 13",0,0,0,0,0,1632100000013
"City of Dearborn, Precinct 15",0,0,0,0,0,1632100000015
"City of Dearborn, Precinct 16",0,0,0,0,0,1632100000016
"City of Dearborn, Precinct 17",0,0,0,0,0,1632100000017
"City of Dearborn, Precinct 18",0,0,0,0,0,1632100000018
"City of Dearborn, Precinct 19",0,0,0,0,0,1632100000019
"City of Dearborn, Precinct 20",0,0,0,0,0,1632100000020
"City of Dearborn, Precinct 21",0,0,0,0,0,1632100000021
"City of Dearborn, Precinct 22",0,0,0,0,0,1632100000022
"City of Dearborn, Precinct 24",0,0,0,0,0,1632100000024
"City of Dearborn, Precinct 25",0,0,0,0,0,1632100000025
"City of Dearborn, Precinct 26",0,0,0,0,0,1632100000026
"City of Dearborn, Precinct 27",0,0,0,0,0,1632100000027
"City of Dearborn, Precinct 28",0,0,0,0,0,1632100000028
"City of Dearborn, Precinct 29",0,0,0,0,0,1632100000029
"City of Dearborn, Precinct 31",0,0,0,0,0,1632100000031
"City of Dearborn, Precinct 32",0,0,0,0,0,1632100000032
"City of Dearborn, Precinct 33",0,0,0,0,0,1632100000033
"City of Dearborn, Precinct 34",0,0,0,0,0,1632100000034
"City of Dearborn, Precinct 35",0,0,0,0,0,1632100000035
"City of Dearborn, Precinct 37",0,0,0,0,0,1632100000037
"City of Dearborn, Precinct 38",0,0,0,0,0,1632100000038
"City of Dearborn, Precinct 40",0,0,0,0,0,1632100000040
"City of Dearborn, Precinct 41",0,0,0,0,0,1632100000041
"City of Dearborn, Precinct 42",0,0,0,0,0,1632100000042
"City of Dearborn, Precinct 44",0,0,0,0,0,1632100000044
"City of Dearborn, Precinct 45",0,0,0,0,0,1632100000045
"City of Dearborn, Precinct 46",0,0,0,0,0,1632100000046
"City of Dearborn, Precinct 47",0,0,0,0,0,1632100000047
"City of Dearborn, Precinct 49",0,0,0,0,0,1632100000049
"City of Dearborn, Precinct 50",0,0,0,0,0,1632100000050
"City of Dearborn Heights, Precinct 1",0,0,0,0,0,1632102000001
"City of Dearborn Heights, Precinct 2",0,0,0,0,0,1632102000002
"City of Dearborn Heights, Precinct 3",0,0,0,0,0,1632102000003
"City of Dearborn Heights, Precinct 4",0,0,0,0,0,1632102000004
"City of Dearborn Heights, Precinct 5",0,0,0,0,0,1632102000005
"City of Dearborn Heights, Precinct 6",0,0,0,0,0,1632102000006
"City of Dearborn Heights, Precinct 7",0,0,0,0,0,1632102000007
"City of Dearborn Heights, Precinct 8",0,0,0,0,0,1632102000008
"City of Dearborn Heights, Precinct 9",0,0,0,0,0,1632102000009
"City of Dearborn Heights, Precinct 10",0,0,0,0,0,1632102000010
"City of Dearborn Heights, Precinct 11",0,0,0,0,0,1632102000011
"City of Detroit, Precinct 60",12,2,0,7,0,1632200007060
"City of Detroit, Precinct 223",143,32,5,86,2,1632200002223
"City of Detroit, Precinct 224",221,43,15,134,0,1632200002224
"City of Detroit, Precinct 225",191,28,6,139,0,1632200002225
"City of Detroit, Precinct 226",143,27,4,91,0,1632200002226
"City of Detroit, Precinct 227",107,21,8,64,0,1632200002227
"City of Detroit, Precinct 228",232,37,8,165,0,1632200002228
"City of Detroit, Precinct 229",196,39,6,129,0,1632200002229
"City of Detroit, Precinct 230",240,38,14,159,0,1632200002230
"City of Detroit, Precinct 231",154,30,14,97,0,1632200002231
"City of Detroit, Precinct 232",199,41,12,134,0,1632200002232
"City of Detroit, Precinct 233",249,51,16,149,0,1632200002233
"City of Detroit, Precinct 234",126,28,4,85,0,1632200002234
"City of Detroit, Precinct 236",223,46,13,141,0,1632200002236
"City of Detroit, Precinct 240",119,11,11,85,0,1632200002240
"City of Detroit, Precinct 241",99,22,4,58,0,1632200002241
"City of Detroit, Precinct 242",117,21,5,75,0,1632200002242
"City of Detroit, Precinct 243",86,19,5,55,0,1632200002243
"City of Detroit, Precinct 244",204,34,9,138,1,1632200002244
"City of Detroit, Precinct 246",85,22,1,55,0,1632200002246
"City of Detroit, Precinct 247",200,38,12,125,0,1632200002247
"City of Detroit, Precinct 248",70,12,4,48,0,1632200002248
"City of Detroit, Precinct 249",99,23,2,60,1,1632200002249
"City of Detroit, Precinct 250",94,10,6,62,0,1632200002250
"City of Detroit, Precinct 251",84,18,1,50,0,1632200002251
"City of Detroit, Precinct 252",105,26,11,61,0,1632200002252
"City of Detroit, Precinct 253",96,17,3,67,0,1632200002253
"City of Detroit, Precinct 254",161,31,7,105,0,1632200002254
"City of Detroit, Precinct 256",106,24,2,74,0,1632200002256
"City of Detroit, Precinct 257",287,51,15,194,0,1632200002257
"City of Detroit, Precinct 258",145,24,17,94,0,1632200002258
"City of Detroit, Precinct 261",252,58,8,154,1,1632200001261
"City of Detroit, Precinct 263",353,64,22,232,0,1632200001263
"City of Detroit, Precinct 264",150,25,14,95,0,1632200001264
"City of Detroit, Precinct 265",171,37,6,101,0,1632200001265
"City of Detroit, Precinct 266",15,5,0,6,1,1632200001266
"City of Detroit, Precinct 267",78,12,3,54,0,1632200001267
"City of Detroit, Precinct 268",74,25,4,40,0,1632200001268
"City of Detroit, Precinct 269",105,12,3,76,0,1632200001269
"City of Detroit, Precinct 271",254,55,9,160,0,1632200001271
"City of Detroit, Precinct 272",21,7,0,14,0,1632200001272
"City of Detroit, Precinct 273",60,16,1,32,1,1632200001273
"City of Detroit, Precinct 275",173,39,1,117,0,1632200001275
"City of Detroit, Precinct 276",188,48,7,112,0,1632200001276
"City of Detroit, Precinct 278",142,33,7,90,0,1632200001278
"City of Detroit, Precinct 279",261,75,12,149,0,1632200001279
"City of Detroit, Precinct 280",84,22,3,44,0,1632200001280
"City of Detroit, Precinct 281",266,59,16,171,0,1632200001281
"City of Detroit, Precinct 282",245,37,5,160,0,1632200001282
"City of Detroit, Precinct 283",213,58,8,123,0,1632200001283
"City of Detroit, Precinct 285",170,28,8,115,0,1632200001285
"City of Detroit, Precinct 286",165,38,10,104,0,1632200001286
"City of Detroit, Precinct 287",95,22,3,61,0,1632200001287
"City of Detroit, Precinct 288",114,30,7,69,0,1632200002288
"City of Detroit, Precinct 289",76,15,4,53,0,1632200002289
"City of Detroit, Precinct 290",79,11,2,52,0,1632200002290
"City of Detroit, Precinct 291",172,28,21,103,0,1632200002291
"City of Detroit, Precinct 292",116,17,1,88,1,1632200002292
"City of Detroit, Precinct 293",84,17,3,47,0,1632200002293
"City of Detroit, Precinct 294",126,24,8,71,0,1632200002294
"City of Detroit, Precinct 295",173,26,13,115,0,1632200002295
"City of Detroit, Precinct 296",157,27,16,93,0,1632200002296
"City of Detroit, Precinct 297",163,33,7,98,0,1632200001297
"City of Detroit, Precinct 298",154,24,6,102,0,1632200001298
"City of Detroit, Precinct 299",130,24,2,87,0,1632200001299
"City of Detroit, Precinct 300",99,14,8,52,0,1632200001300
"City of Detroit, Precinct 301",60,6,3,37,0,1632200001301
"City of Detroit, Precinct 302",153,33,9,88,0,1632200001302
"City of Detroit, Precinct 304",68,5,3,42,1,1632200001304
"City of Detroit, Precinct 305",145,31,4,97,1,1632200001305
"City of Detroit, Precinct 306",116,26,2,74,0,1632200001306
"City of Detroit, Precinct 307",128,27,8,72,0,1632200001307
"City of Detroit, Precinct 308",217,69,10,128,0,1632200001308
"City of Detroit, Precinct 309",105,27,1,67,0,1632200001309
"City of Detroit, Precinct 310",108,19,16,64,0,1632200001310
"City of Detroit, Precinct 311",184,40,9,120,0,1632200001311
"City of Detroit, Precinct 312",196,52,3,117,1,1632200001312
"City of Detroit, Precinct 313",137,16,7,90,1,1632200002313
"City of Detroit, Precinct 315",158,36,4,97,0,1632200001315
"City of Detroit, Precinct 316",126,23,7,80,0,1632200001316
"City of Detroit, Precinct 317",72,11,4,44,1,1632200001317
"City of Detroit, Precinct 318",31,3,0,23,0,1632200002318
"City of Detroit, Precinct 319",98,16,1,66,1,1632200001319
"City of Detroit, Precinct 320",127,21,4,82,0,1632200001320
"City of Detroit, Precinct 321",60,9,2,37,0,1632200001321
"City of Detroit, Precinct 323",281,52,7,184,1,1632200001323
"City of Detroit, Precinct 324",242,57,6,161,0,1632200001324
"City of Detroit, Precinct 325",121,11,2,90,0,1632200001325
"City of Detroit, Precinct 326",284,50,17,183,1,1632200001326
"City of Detroit, Precinct 328",86,16,0,61,0,1632200001328
"City of Detroit, Precinct 329",71,12,2,43,0,1632200001329
"City of Detroit, Precinct 330",181,24,5,121,0,1632200007330
"City of Detroit, Precinct 331",129,19,6,87,0,1632200007331
"City of Detroit, Precinct 333",79,14,7,47,0,1632200007333
"City of Detroit, Precinct 334",33,8,2,17,0,1632200007334
"City of Detroit, Precinct 335",76,5,3,50,0,1632200007335
"City of Detroit, Precinct 336",122,26,5,69,0,1632200007336
"City of Detroit, Precinct 337",58,13,5,19,0,1632200007337
"City of Detroit, Precinct 338",89,8,6,55,0,1632200007338
"City of Detroit, Precinct 339",70,7,2,44,0,1632200007339
"City of Detroit, Precinct 340",34,4,0,20,0,1632200007340
"City of Detroit, Precinct 341",100,13,1,64,0,1632200007341
"City of Detroit, Precinct 342",147,20,3,92,0,1632200007342
"City of Detroit, Precinct 343",123,21,10,64,1,1632200007343
"City of Detroit, Precinct 344",102,13,2,70,0,1632200007344
"City of Detroit, Precinct 345",167,31,9,111,0,1632200007345
"City of Detroit, Precinct 346",92,21,6,56,0,1632200007346
"City of Detroit, Precinct 347",211,31,6,143,1,1632200007347
"City of Detroit, Precinct 348",109,20,3,72,0,1632200007348
"City of Detroit, Precinct 349",171,25,17,107,0,1632200007349
"City of Detroit, Precinct 350",32,6,3,15,0,1632200001350
"City of Detroit, Precinct 351",72,9,3,50,1,1632200001351
"City of Detroit, Precinct 352",175,29,13,95,0,1632200001352
"City of Detroit, Precinct 353",21,4,1,11,0,1632200007353
"City of Detroit, Precinct 355",99,17,6,47,0,1632200007355
"City of Detroit, Precinct 356",121,20,3,84,1,1632200007356
"City of Detroit, Precinct 357",171,14,9,123,0,1632200001357
"City of Detroit, Precinct 359",206,33,4,145,2,1632200001359
"City of Detroit, Precinct 361",237,50,3,157,0,1632200001361
"City of Detroit, Precinct 362",46,5,0,35,0,1632200001362
"City of Detroit, Precinct 363",104,28,3,63,1,1632200007363
"City of Detroit, Precinct 364",144,25,8,91,1,1632200007364
"City of Detroit, Precinct 365",135,20,6,87,1,1632200007365
"City of Detroit, Precinct 368",99,19,2,69,0,1632200007368
"City of Detroit, Precinct 369",224,37,11,145,0,1632200007369
"City of Detroit, Precinct 370",109,12,5,78,0,1632200007370
"City of Detroit, Precinct 371",116,18,3,77,0,1632200007371
"City of Detroit, Precinct 373",115,24,1,74,1,1632200007373
"City of Detroit, Precinct 374",97,24,4,57,0,1632200007374
"City of Detroit, Precinct 375",72,11,0,50,0,1632200007375
"City of Detroit, Precinct 376",68,4,4,40,0,1632200007376
"City of Detroit, Precinct 377",64,8,3,40,0,1632200007377
"City of Detroit, Precinct 378",101,15,8,67,0,1632200001378
"City of Detroit, Precinct 379",171,24,3,124,0,1632200001379
"City of Detroit, Precinct 380",78,10,2,52,0,1632200007380
"City of Detroit, Precinct 381",138,28,3,83,0,1632200007381
"City of Detroit, Precinct 383",131,13,1,97,1,1632200002383
"City of Detroit, Precinct 384",152,22,9,98,0,1632200002384
"City of Detroit, Precinct 385",99,21,2,58,0,1632200002385
"City of Detroit, Precinct 389",89,12,1,67,0,1632200002389
"City of Detroit, Precinct 391",2,0,0,2,0,1632200007391
"City of Detroit, Precinct 392",95,14,1,70,1,1632200007392
"City of Detroit, Precinct 393",70,13,2,41,0,1632200007393
"City of Detroit, Precinct 394",91,11,4,64,0,1632200007394
"City of Detroit, Precinct 395",50,9,1,34,0,1632200007395
"City of Detroit, Precinct 403",136,30,4,84,0,1632200002403
"City of Detroit, Precinct 404",47,9,3,30,0,1632200007404
"City of Detroit, Precinct 406",120,23,3,77,0,1632200007406
"City of Detroit, Precinct 407",29,4,2,18,0,1632200007407
"City of Detroit, Precinct 408",74,9,10,48,0,1632200007408
"City of Detroit, Precinct 410",179,24,13,123,1,1632200007410
"City of Detroit, Precinct 411",166,37,3,109,0,1632200007411
"City of Detroit, Precinct 413",168,24,8,114,0,1632200007413
"City of Detroit, Precinct 495",106,22,8,70,0,1632200001495
"City of Detroit, Precinct 501",105,22,7,66,1,1632200001501
"City of Garden City, Precinct 1",0,0,0,0,0,1633142000001
"City of Garden City, Precinct 2",0,0,0,0,0,1633142000002
"City of Garden City, Precinct 3",0,0,0,0,0,1633142000003
"City of Garden City, Precinct 4",0,0,0,0,0,1633142000004
"City of Garden City, Precinct 5",0,0,0,0,0,1633142000005
"City of Garden City, Precinct 6",0,0,0,0,0,1633142000006
"City of Garden City, Precinct 7",0,0,0,0,0,1633142000007
"City of Garden City, Precinct 8",0,0,0,0,0,1633142000008
